"transmitter","sed_type","n","prop"
"21067","Muddy_Sand",15,0.194805194805195
"21067","Sand",28,0.363636363636364
"21067","Sandy_Gravel",34,0.441558441558442
"21069","Muddy_Sand",96,0.165232358003442
"21069","Sand",183,0.314974182444062
"21069","Sandy_Gravel",295,0.507745266781411
"21069",NA,7,0.0120481927710843
"21071","Muddy_Sand",95,0.168439716312057
"21071","Sand",205,0.363475177304965
"21071","Sandy_Gravel",252,0.446808510638298
"21071",NA,12,0.0212765957446809
"23901","Muddy_Sand",173,0.152021089630931
"23901","Sand",296,0.260105448154657
"23901","Sandy_Gravel",646,0.567662565905097
"23901",NA,23,0.0202108963093146
"23902","Muddy_Sand",73,0.155650319829424
"23902","Sand",143,0.304904051172708
"23902","Sandy_Gravel",245,0.522388059701492
"23902",NA,8,0.0170575692963753
"26352","Muddy_Sand",124,0.135076252723312
"26352","Sand",304,0.331154684095861
"26352","Sandy_Gravel",479,0.521786492374728
"26352",NA,11,0.0119825708061002
"26353","Muddy_Sand",76,0.219653179190751
"26353","Sand",127,0.367052023121387
"26353","Sandy_Gravel",139,0.401734104046243
"26353",NA,4,0.0115606936416185
"27543","Muddy_Sand",82,0.190255220417633
"27543","Sand",160,0.37122969837587
"27543","Sandy_Gravel",182,0.422273781902552
"27543",NA,7,0.0162412993039443
